Id,Lastname,Firstname,Dob,Gender,Math,Physics,Chemistry,AverageScore
1,Tran Diep Hoang,Anh,12/06/2004,Male,6,8,9,7.25
2,Nguyen Phan,Duong,03/09/2004,Male,8,5,6,6.75
3,Tran Trung,Diep,15/03/2004,Male,9,4,8,7.5
4,Le Thi,Hoa,28/07/2004,Female,4,6,7,5.25
5,Truong Trong,Dat,11/11/2004,Male,8,9,6,7.75
6,Tran Nguyen Hoang,My,09/08/2004,Female,5,5,8,5.75
7,Le Tran Hoai,Ngan,01/02/2004,Male,6,6,8,6.5
8,Hoang Cong,Dinh,19/04/2004,Male,5,3,6,4.75
9,Nguyen Dang,Khoi,20/06/2004,Male,8,8,7,7.75
10,Ton Nu Diem,My,13/07/2004,Female,10,5,7,8
